listing_id,location,property_type,rooms,bathrooms,car_parks,size_sqft,furnished,monthly_rent,date_listed,agent_rating
KV100369,Mont Kiara,Condominium,4.0,4.0,2.0,"1,000 sq. ft.",Partly Furnished,"RM 4,350",08/05/2026,4.2
KV100283,Setapak,Serviced Residence,3.0,2.0,0.0,"1,090 sq. ft.",Partially Furnished,"RM 2,200",2025-10-29,3.4
KV100051,AMPANG,Serviced Residence,4.0,3.0,,950 sq. ft.,Partially Furnished,"RM 2,800",04/05/2026,3.4
KV100409,Subang Jaya  ,Condominium,2.0,1.0,2.0,850 sq. ft.,Partly Furnished,"RM 2,200",2025-04-24,4.0
KV100766,PUCHONG,Condominium,3.0,2.0,2.0,830 sq. ft.,Partially Furnished,"RM 1,700",2025-08-05,3.6
KV100034,Cyberjaya,Condominium,4.0,,2.0,870 sq. ft.,Fully Furnished,"RM 2,400",2025-11-20,
KV100565,KAJANG,Serviced Residence,3.0,2.0,2.0,810 sq. ft.,Partially Furnished,"RM 1,550",2026-08-16,4.6
KV100668,KLCC,Condominium,3.0,2.0,2.0,"1,170 sq. ft.",Not Furnished,"RM 4,650",2026-01-22,3.2
KV100358,petaling jaya,Apartment,3.0,2.0,2.0,870 sq. ft.,Fully Furnished,"RM 2,450",2025-06-25,4.2
KV100586,Puchong,Condominium,2.0,,0.0,"1,140 sq. ft.",Fully Furnished,"RM 2,700",2025-11-08,4.3
KV100412,PUCHONG,Terrace House,5.0,4.0,2.0,"1,870 sq. ft.",not furnished,"RM 2,850",2025-04-14,4.3
KV100961,Cyberjaya,Condominium,4.0,4.0,1.0,990 sq. ft.,Not Furnished,"RM 1,650",2025-07-19,3.2
KV100442,Setapak,Apartment,2.0,2.0,2.0,950 sq. ft.,Fully Furnished,"RM 1,900",2026-07-31,4.7
KV101153,mont kiara,Terrace House,3.0,3.0,2.0,"1,610 sq. ft.",fully furnished,"RM 6,900",2025-08-07,3.7
KV100837,Ampang,Serviced Residence,4.0,3.0,3.0,720 sq. ft.,Fully Furnished,"RM 2,600",21/07/2026,4.1
KV101063,Cyberjaya,Condominium,2.0,1.0,1.0,"1,090 sq. ft.",Fully Furnished,"RM 2,900",2026-01-07,3.9
KV101123,Shah Alam,Serviced Residence,3.0,2.0,2.0,"1,140 sq. ft.",Partially Furnished,"RM 3,050",2025-09-02,3.8
KV100101,Cyberjaya,Terrace House,5.0,5.0,2.0,"2,280 sq. ft.",Fully Furnished,"RM 4,350",2026-03-06,3.9
KV101002,KLCC,Condominium,3.0,2.0,2.0,"1,530 sq. ft.",Full Furnished,"RM 7,200",31/07/2026,3.8
KV100263,Petaling Jaya,Terrace House,3.0,2.0,0.0,"1,780 sq. ft.",Partially Furnished,"RM 4,200",2025-04-12,
KV100691,KLCC  ,Apartment,2.0,1.0,1.0,900 sq. ft.,Partially Furnished,"RM 3,700",2026-05-04,
KV100609,Shah Alam,Studio,,1.0,-0.0,480 sq. ft.,,"RM 1,200",18/03/2026,4.0
KV101197,Puchong  ,Serviced Residence,3.0,2.0,2.0,"1,230 sq. ft.",Not Furnished,"RM 2,250",02/08/2026,4.0
KV100141,Bangsar,Serviced Residence,3.0,2.0,0.0,"1,130 sq. ft.",Fully Furnished,"RM 5,950",16/04/2026,4.0
KV100705,PUCHONG,Condominium,2.0,2.0,,"1,490 sq. ft.",Fully Furnished,"RM 2,700",04/02/2026,4.2
KV100700,Bangsar,Studio,1.0,1.0,2.0,350 sq. ft.,Fully Furnished,"RM 1,750",2025-09-19,4.2
KV100832,kajang,Condominium,3.0,2.0,,"1,370 sq. ft.",Fully Furnished,"RM 2,900",2025-12-20,4.4
KV100900,Ampang,Apartment,3.0,3.0,,950 sq. ft.,,"RM 2,700",11/06/2026,3.7
KV100557,Shah Alam,Apartment,2.0,1.0,2.0,900 sq. ft.,fully furnished,"RM 1,850",2025-12-03,
KV100316,Setapak,Condominium,4.0,,3.0,"1,390 sq. ft.",Not Furnished,"RM 2,600",2025-12-19,4.2
KV100418,  Mont Kiara ,Condominium,2.0,1.0,1.0,"1,420 sq. ft.",Partly Furnished,"RM 5,400",2025-07-08,3.8
KV100503,klcc,Serviced Residence,2.0,2.0,1.0,830 sq. ft.,PARTIALLY FURNISHED,"RM 3,700",2025-07-27,4.5
KV101157,Ampang,Apartment,,,2.0,890 sq. ft.,Partially Furnished,"RM 2,550",2025-11-26,4.7
KV101069,KLCC,Condominium,4.0,4.0,2.0,"1,220 sq. ft.",partially furnished,"RM 5,500",2026-05-07,4.1
KV100722,Subang Jaya,Serviced Residence,4.0,,2.0,910 sq. ft.,Not Furnished,"RM 2,400",2026-02-16,4.5
KV100718,Setapak  ,Condominium,2.0,2.0,1.0,"1,240 sq. ft.",fully furnished,"RM 2,850",2026-02-27,4.0
KV100528,Cyberjaya,Serviced Residence,3.0,2.0,0.0,690 sq. ft.,Partially Furnished,"RM 1,700",03/05/2025,3.4
KV100228,Kajang,Condominium,3.0,2.0,2.0,"1,130 sq. ft.",Partially Furnished,"RM 2,150",27/02/2026,4.1
KV100591,KLCC,Apartment,2.0,1.0,1.0,790 sq. ft.,Fully Furnished,"RM 3,800",30/10/2025,
KV100664,KLCC,Serviced Residence,4.0,3.0,,920 sq. ft.,Fully Furnished,"RM 5,150",2025-03-12,
KV100508,Petaling Jaya,Condominium,4.0,3.0,1.0,"1,120 sq. ft.",Fully Furnished,"RM 3,850",2026-03-24,5.0
KV100510,Ampang,Apartment,4.0,3.0,2.0,900 sq. ft.,Full Furnished,"RM 2,800",30/07/2025,5.0
KV100113,Ampang,Apartment,2.0,1.0,,870 sq. ft.,Not Furnished,"RM 2,150",2026-05-03,3.2
KV100109,Ampang,Condominium,4.0,3.0,3.0,870 sq. ft.,Fully Furnished,"RM 3,150",2025-05-26,3.9
KV101186,Kajang,Studio,1.0,1.0,0.0,460 sq. ft.,Fully Furnished,"RM 1,250",2026-08-13,4.1
KV100170,Cyberjaya,Serviced Residence,2.0,1.0,0.0,680 sq. ft.,Full Furnished,"RM 1,750",2025-05-15,4.1
KV100128,Cyberjaya,Condominium,4.0,3.0,,"1,130 sq. ft.",Fully Furnished,"RM 3,350",2025-11-27,
KV100207,Subang Jaya,Serviced Residence,4.0,3.0,2.0,710 sq. ft.,Partially Furnished,"RM 1,750",26/07/2025,4.3
KV100363,Mont Kiara,Serviced Residence,2.0,1.0,0.0,"1,020 sq. ft.",Not Furnished,"RM 4,300",10/06/2026,0.0
KV100027,Cyberjaya  ,Studio,1.0,1.0,2.0,420 sq. ft.,Partially Furnished,"RM 1,100",07/03/2026,3.9
KV101138,Puchong,Condominium,4.0,,2.0,"1,240 sq. ft.",Not Furnished,"RM 2,050",2026-03-11,4.3
KV100457,MONT KIARA,Terrace House,3.0,2.0,2.0,"1,510 sq. ft.",Full Furnished,RM 0,2025-05-10,4.0
KV100915,Setapak,Studio,1.0,1.0,0.0,300 sq. ft.,FULLY FURNISHED,RM 800,07/09/2025,3.6
KV100272,Subang Jaya,Studio,1.0,1.0,-0.0,510 sq. ft.,,"RM 1,450",2026-05-26,5.0
